url,model,store
https://store.sony.com.mx/ilce-7sm3/p,A7SIII,Sony
https://store.sony.com.mx/ilce-1/p,A1,Sony
https://www.liverpool.com.mx/tienda/pdp/cuerpo-de-c%C3%A1mara-mirrorless-sony-ilce-7sm3/1101332272,A7SIII,Liverpool
NA,A1,Liverpool
https://www.fotomecanica.mx/camara-sony-ilce-7sm3bqe38-precio-exclusivo-de-preventa-inicia-28-de-julio-al-23-oct-entrega-1-nov.html,A7SIII,Bolaños
https://www.fotomecanica.mx/camara-sony-ilce-1.html,A1,Bolaños
https://vyorsa.com.mx/camara-sony-alpha-a7s-iii.html,A7SIII,Vyorsa
https://vyorsa.com.mx/camara-sony-alpha-1-cuerpo.html,A1,Vyorsa
https://profoto.com.mx/camara-sony-alpha-a7s-iii-cuerpo.html,A7SIII,Profoto
https://profoto.com.mx/camara-sony-mirrorless-alpha-a1-ilce-1.html,A1,Profoto
https://www.tecnoplanet.mx/alpha1.html,A7SIII,Tecnoplanet
https://www.tecnoplanet.mx/sony-alpha-a7s-iii-ilce7sm3-cuerpo.html,A1,Tecnoplanet
https://viewhaus.com/products/sony-aplha-a7siii,A7SIII,Viewhauss
https://viewhaus.com/products/sony-alpha-a1-ilce-1-bq?_pos=1&_sid=13eefe5c6&_ss=r,A1,Viewhauss
